NearUserPos,FarUserPos,FarUserDist,TransmitPower,SNR,SumRateFarUser,SumRateNearUser,BERFarUser,BERNearUser,OutageProbFarUser,OutageProbNearUser,MAScheme
b2,a2,15.811,-94,-10,0.0290602776707894,0.028004664932523,0.4776,0.4031,1,1,OMA
b2,a2,15.811,-94,-10,0.0160894873216583,0.0147479744034554,0.4811,0.4633,1,1,NOMA
b2,a2,15.811,-92,-8,0.0456900565858285,0.0433400529026852,0.4757,0.3713,1,1,OMA
b2,a2,15.811,-92,-8,0.0256427573077444,0.0231658796753724,0.4778,0.4434,1,1,NOMA
b2,a2,15.811,-90,-6,0.069843025234767,0.0668406243030821,0.4589,0.3418,1,1,OMA
b2,a2,15.811,-90,-6,0.0400159596711561,0.0365052439120296,0.4648,0.4404,1,1,NOMA
b2,a2,15.811,-88,-4,0.104536616692024,0.102202063579913,0.4643,0.3146,1,1,OMA
b2,a2,15.811,-88,-4,0.0617018219622772,0.0575476783028912,0.4691,0.4262,1,1,NOMA
b2,a2,15.811,-86,-2,0.158685414034861,0.151523505757942,0.4475,0.2748,1,1,OMA
b2,a2,15.811,-86,-2,0.0976661943959856,0.0887120364777782,0.4542,0.4231,1,1,NOMA
b2,a2,15.811,-84,0,0.231546023975283,0.224021633606808,0.433,0.24,1,1,OMA
b2,a2,15.811,-84,0,0.149680048381307,0.138441524657144,0.4383,0.408,1,1,NOMA
b2,a2,15.811,-82,2,0.332548058194896,0.319714065667218,0.4267,0.1924,1,1,OMA
b2,a2,15.811,-82,2,0.229296640889362,0.210510986227986,0.4328,0.3925,1,1,NOMA
b2,a2,15.811,-80,4,0.457491775717483,0.439701839340333,0.4096,0.1501,1,1,OMA
b2,a2,15.811,-80,4,0.338115484431874,0.31145923788144,0.4243,0.3657,1,1,NOMA
b2,a2,15.811,-78,6,0.622214010679665,0.596589677456772,0.3822,0.1109,1,1,OMA
b2,a2,15.811,-78,6,0.498388110796545,0.458597570810315,0.3995,0.3243,1,0.9996,NOMA
b2,a2,15.811,-76,8,0.816750430398894,0.776892819533129,0.3501,0.0785,1,0.9984,OMA
b2,a2,15.811,-76,8,0.709161903808256,0.647204618070828,0.3663,0.2725,1,0.9917,NOMA
b2,a2,15.811,-74,10,1.06604244829423,1.00601776452681,0.3161,0.0549,1,0.9764,OMA
b2,a2,15.811,-74,10,1.00450016523951,0.915996577127021,0.3483,0.2253,1,0.9512,NOMA
b2,a2,15.811,-72,12,1.35078363692224,1.25637563295891,0.2738,0.0346,1,0.9066,OMA
b2,a2,15.811,-72,12,1.3729193347259,1.23996364069981,0.3163,0.1695,0.9998,0.849,NOMA
b2,a2,15.811,-70,14,1.68229813369603,1.53359492339197,0.2328,0.0214,0.9995,0.7719,OMA
b2,a2,15.811,-70,14,1.83084351618621,1.62902182582301,0.2821,0.1225,0.993,0.6979,NOMA
b2,a2,15.811,-68,16,2.04908328003246,1.85680513030567,0.1914,0.014,0.992,0.6098,OMA
b2,a2,15.811,-68,16,2.36185261922769,2.1124520300583,0.2478,0.0863,0.9564,0.5266,NOMA
b2,a2,15.811,-66,18,2.44870593781165,2.21757788102427,0.1444,0.0101,0.9482,0.446,OMA
b2,a2,15.811,-66,18,2.95558693641692,2.67981011256384,0.2117,0.0627,0.8601,0.3803,NOMA
b2,a2,15.811,-64,20,2.92644081544831,2.58502935991309,0.102,0.0043,0.8439,0.3019,OMA
b2,a2,15.811,-64,20,3.66649618686275,3.27342585721069,0.1707,0.0398,0.7073,0.2469,NOMA
b2,a2,15.811,-62,22,3.39291368276807,2.99150468598085,0.0748,0.0031,0.69,0.2077,OMA
b2,a2,15.811,-62,22,4.35600502868058,3.93945260398399,0.1407,0.0267,0.5455,0.1702,NOMA
b2,a2,15.811,-60,24,3.89908245826631,3.44049918212761,0.055,0.0025,0.5258,0.1447,OMA
b2,a2,15.811,-60,24,5.08194678867498,4.66917854143265,0.1142,0.0173,0.3934,0.119,NOMA
b2,a2,15.811,-58,26,4.47106792303891,3.93839517249572,0.0334,0.0017,0.3756,0.0914,OMA
b2,a2,15.811,-58,26,5.88120040002428,5.45602421755907,0.0896,0.012,0.2663,0.0731,NOMA
b2,a2,15.811,-56,28,5.01663380075567,4.45340471940978,0.0261,0.0008,0.266,0.0622,OMA
b2,a2,15.811,-56,28,6.60005558359752,6.2469725667981,0.0709,0.0077,0.1871,0.0493,NOMA
b2,a2,15.811,-54,30,5.62651677497383,4.99884463203304,0.0155,0.0008,0.1767,0.0367,OMA
b2,a2,15.811,-54,30,7.38585434096999,7.05535718218148,0.0488,0.0048,0.1212,0.0286,NOMA
b2,a3,15.811,-114,-30,0.000300185304337926,0.000290087097403703,0.4928,0.4869,1,1,OMA
b2,a3,15.811,-114,-30,0.000161488180910968,0.000148694615213204,0.4934,0.4932,1,1,NOMA
b2,a3,15.811,-112,-28,0.000477966573776456,0.000462658444411803,0.4976,0.4981,1,1,OMA
b2,a3,15.811,-112,-28,0.000257184468440935,0.000237231872055452,0.4978,0.507,1,1,NOMA
b2,a3,15.811,-110,-26,0.000753545957131812,0.00072875251031928,0.4844,0.4795,1,1,OMA
b2,a3,15.811,-110,-26,0.000406086696975148,0.000373495038854622,0.4849,0.4863,1,1,NOMA
b2,a3,15.811,-108,-24,0.00118792920091559,0.00117891901108438,0.4947,0.4852,1,1,OMA
b2,a3,15.811,-108,-24,0.000640073317396039,0.000604205551932988,0.4956,0.4927,1,1,NOMA
b2,a3,15.811,-106,-22,0.00190034387629761,0.00184166339900296,0.4885,0.4795,1,1,OMA
b2,a3,15.811,-106,-22,0.00102321771742799,0.000945062674026473,0.4888,0.4923,1,1,NOMA
b2,a3,15.811,-104,-20,0.00295217464218704,0.00289892274601156,0.4929,0.4704,1,1,OMA
b2,a3,15.811,-104,-20,0.00159546785277561,0.00148952022771822,0.4938,0.4885,1,1,NOMA
b2,a3,15.811,-102,-18,0.00471390749550434,0.00454423781885191,0.4895,0.4638,1,1,OMA
b2,a3,15.811,-102,-18,0.00255448503563947,0.00233925244583149,0.4904,0.4828,1,1,NOMA
b2,a3,15.811,-100,-16,0.00753935020148972,0.00731180310947102,0.4878,0.4507,1,1,OMA
b2,a3,15.811,-100,-16,0.00408888185846807,0.00377323688464733,0.4888,0.4709,1,1,NOMA
b2,a3,15.811,-98,-14,0.0116213673193996,0.0114392937777401,0.4905,0.4322,1,1,OMA
b2,a3,15.811,-98,-14,0.00634273616967293,0.00592645869114935,0.4926,0.4667,1,1,NOMA
b2,a3,15.811,-96,-12,0.0186315232179914,0.0180257160230276,0.4848,0.4175,1,1,OMA
b2,a3,15.811,-96,-12,0.0101950787184392,0.00940451917895388,0.4864,0.463,1,1,NOMA
b2,a3,15.811,-94,-10,0.0289101013581844,0.028004664932523,0.4756,0.3962,1,1,OMA
b2,a3,15.811,-94,-10,0.0160107369672532,0.0147479744034554,0.477,0.4526,1,1,NOMA
b2,a3,15.811,-92,-8,0.0448736315957205,0.0433400529026852,0.4823,0.3751,1,1,OMA
b2,a3,15.811,-92,-8,0.025185130590602,0.0231658796753724,0.4858,0.4486,1,1,NOMA
b2,a3,15.811,-90,-6,0.0690473914282486,0.0668406243030821,0.4625,0.3491,1,1,OMA
b2,a3,15.811,-90,-6,0.0395711264346524,0.0365052439120296,0.4677,0.4391,1,1,NOMA
b2,a3,15.811,-88,-4,0.105094812660956,0.102202063579913,0.4613,0.3093,1,1,OMA
b2,a3,15.811,-88,-4,0.0620703625401117,0.0575476783028912,0.4657,0.4311,1,1,NOMA
