NearUserPos,FarUserPos,NearUserDist,FarUserDist,TransmitPower,SNR,SumRateFarUser,SumRateNearUser,BERFarUser,BERNearUser,OutageProbFarUser,OutageProbNearUser,OptimalMA,NormalizedCapacityNear,NormalizedCapacityFar,NormalizedBERNear,NormalizedBERFar,NormalizedOutageNear,NormalizedOutageFar,Score
c3,a3,21.21320344,38.07886553,-66,18,0.199966648,0.199966648,0.4183,0.2649,1,1,OMA,0.029447583,0.029447583,0.513277767,0.771377138,1,1,0.102908606
c3,a3,21.21320344,38.07886553,-64,20,0.286786565,0.286786565,0.3916,0.2169,1,1,OMA,0.042233021,0.042233021,0.42023648,0.71129613,1,1,0.129156588
c3,a3,21.21320344,38.07886553,-62,22,0.410789982,0.410789982,0.3697,0.1689,1,1,OMA,0.060494247,0.060494247,0.327195193,0.662016202,1,1,0.156831187
c3,a3,21.21320344,38.07886553,-60,24,0.570853451,0.570853451,0.3435,0.1299,1,1,OMA,0.084065815,0.084065815,0.251599147,0.603060306,1,1,0.186236955
c3,a3,21.21320344,38.07886553,-58,26,0.775787146,0.775787146,0.3058,0.0923,1,0.9993,OMA,0.114245147,0.114245147,0.178716806,0.518226823,0.999282566,1,0.222107875
c3,a3,21.21320344,38.07886553,-56,28,1.019824929,1.019824929,0.2572,0.0694,1,0.9918,OMA,0.150183099,0.150183099,0.134328358,0.408865887,0.991595777,1,0.261324607
c3,a3,21.21320344,38.07886553,-54,30,1.319573053,1.319573053,0.2128,0.0439,0.9979,0.9524,OMA,0.194325173,0.194325173,0.084900174,0.308955896,0.951214513,0.995269205,0.309000581
c3,a4,21.21320344,35.35533906,-114,-30,3.97E-06,3.97E-06,0.5062,0.4875,1,1,OMA,3.02E-07,3.02E-07,0.944756736,0.969171917,1,1,0.00691084
c3,a4,21.21320344,35.35533906,-112,-28,6.36E-06,6.36E-06,0.5003,0.4998,1,1,OMA,6.54E-07,6.54E-07,0.968598566,0.95589559,1,1,0.005553352
c3,a4,21.21320344,35.35533906,-110,-26,1.02E-05,1.02E-05,0.4932,0.4993,1,1,OMA,1.22E-06,1.22E-06,0.967629386,0.939918992,1,1,0.007731179
c3,a4,21.21320344,35.35533906,-108,-24,1.61E-05,1.61E-05,0.5014,0.4889,1,1,OMA,2.08E-06,2.08E-06,0.94747044,0.958370837,1,1,0.007950986
c3,a4,21.21320344,35.35533906,-106,-22,2.54E-05,2.54E-05,0.4973,0.4953,1,1,OMA,3.46E-06,3.46E-06,0.959875945,0.949144914,1,1,0.007543114
