No,Comb,DistanceNu,DistanceFu,tSNR,rSINRFu,rSINRNu,cGainFu,cGainNu,SumRate,OutageFu,OutageNu,BERFu,BerNu
77,c2b1,7.071,15.811,-109,5.12163E-05,0.001242474,1.59749E-05,0.000396647,0.00094045,1,1,0.4959,0.485
78,c2b4,7.071,15.811,-109,5.11505E-05,0.001270474,1.59771E-05,0.000395508,0.000945872,1,1,0.4965,0.4809
79,c2c1,7.071,15.811,-109,4.98511E-05,0.001265206,1.60552E-05,0.0004059,0.000959964,1,1,0.5063,0.4812
80,c2c4,7.071,15.811,-109,5.04436E-05,0.001254595,1.60065E-05,0.000405204,0.000953057,1,1,0.4971,0.4776
81,c2d1,7.071,21.2132,-109,1.55563E-05,0.001277772,4.9691E-06,0.000396236,0.00093493,1,1,0.5,0.4721
82,c2d2,7.071,15.811,-109,5.12435E-05,0.001257222,0.000016043,0.000394561,0.000941738,1,1,0.5011,0.4891
83,c2d3,7.071,15.811,-109,5.08514E-05,0.001271065,1.60417E-05,0.00039778,0.000952379,1,1,0.4975,0.4858
84,c2d4,7.071,21.2132,-109,1.57641E-05,0.001250548,4.9124E-06,0.0004015,0.000932804,1,1,0.4951,0.476
85,c3a1,7.071,21.2132,-109,1.54301E-05,0.001261571,4.9124E-06,0.0004015,0.00090676,1,1,0.5008,0.4735
86,c3a2,7.071,15.811,-109,5.02278E-05,0.001249849,1.58107E-05,0.000403975,0.000939591,1,1,0.4917,0.4812
87,c3a3,7.071,15.811,-109,5.08264E-05,0.001264708,1.58743E-05,0.00039551,0.000944378,1,1,0.498,0.4815
88,c3a4,7.071,21.2132,-109,1.56324E-05,0.001279926,4.9496E-06,0.000403517,0.000921569,1,1,0.494,0.4754
89,c3b1,7.071,15.811,-109,5.12163E-05,0.001242474,1.59749E-05,0.000396647,0.00094045,1,1,0.4959,0.485
90,c3b4,7.071,15.811,-109,5.11505E-05,0.001270474,1.59771E-05,0.000395508,0.000945872,1,1,0.4965,0.4809
91,c3c1,7.071,15.811,-109,4.98511E-05,0.001265206,1.60552E-05,0.0004059,0.000959964,1,1,0.5063,0.4812
92,c3c4,7.071,15.811,-109,5.04436E-05,0.001254595,1.60065E-05,0.000405204,0.000953057,1,1,0.4971,0.4776
93,c3d1,7.071,21.2132,-109,1.55563E-05,0.001277772,4.9691E-06,0.000396236,0.00093493,1,1,0.5,0.4721
94,c3d2,7.071,15.811,-109,5.12435E-05,0.001257222,0.000016043,0.000394561,0.000941738,1,1,0.5011,0.4891
95,c3d3,7.071,15.811,-109,5.08514E-05,0.001271065,1.60417E-05,0.00039778,0.000952379,1,1,0.4975,0.4858
96,c3d4,7.071,21.2132,-109,1.57641E-05,0.001250548,4.9124E-06,0.0004015,0.000932804,1,1,0.4951,0.476
97,b2a1,7.071,21.2132,-104,4.87942E-05,0.003989438,4.8888E-06,0.000403052,0.002859847,1,1,0.4987,0.4582
98,b2a2,7.071,15.811,-104,0.000158834,0.003952371,1.58107E-05,0.000403975,0.0029635,1,1,0.4883,0.4681
99,b2a3,7.071,15.811,-104,0.000160727,0.003999357,1.58743E-05,0.00039551,0.002978668,1,1,0.4951,0.4667
100,b2a4,7.071,21.2132,-104,4.94341E-05,0.004047482,4.9496E-06,0.000403517,0.002906558,1,1,0.493,0.4628
101,b2b1,7.071,15.811,-104,0.00016196,0.003929048,1.59749E-05,0.000396647,0.002966359,1,1,0.493,0.4727
102,b2b4,7.071,15.811,-104,0.000161752,0.004017592,1.59771E-05,0.000395508,0.002983296,1,1,0.4938,0.4677
