No,Comb,DistanceNu,DistanceFu,tSNR,rSINRFu,rSINRNu,cGainFu,cGainNu,SumRate,OutageFu,OutageNu,BERFu,BerNu,MaScheme,
1091,"c2,d3",7.071,15.8110,-69,0.3097164572,3.1776613983,0.0000160417,0.0003977799,2.0821321283,0.9797000000,0.6089000000,0.2609000000,0.1010000000,NOMA,
1092,"c2,d4",7.071,21.2132,-69,0.1099558735,3.1263695439,0.0000049124,0.0004015003,1.8603103450,1.0000000000,0.6120000000,0.3527000000,0.1121000000,NOMA,
1093,"c3,a1",7.071,21.2132,-69,0.1076511989,3.1539278515,0.0000048888,0.0004030517,1.8410801021,1.0000000000,0.6188000000,0.3458000000,0.1078000000,NOMA,
1094,"c3,a2",7.071,15.8110,-69,0.3061538020,3.1246234441,0.0000158107,0.0004039752,2.0647219388,0.9809000000,0.6110000000,0.2608000000,0.1054000000,NOMA,
1095,"c3,a3",7.071,15.8110,-69,0.3088192208,3.1617690188,0.0000158743,0.0003955102,2.0783466774,0.9815000000,0.6113000000,0.2649000000,0.1064000000,NOMA,
1096,"c3,a4",7.071,21.2132,-69,0.1088968418,3.1998158240,0.0000049496,0.0004035167,1.8584708750,1.0000000000,0.6099000000,0.3409000000,0.1046000000,NOMA,
1097,"c3,b1",7.071,15.8110,-69,0.3112173578,3.1061851184,0.0000159749,0.0003966465,2.0747977314,0.9804000000,0.6221000000,0.2629000000,0.1025000000,NOMA,
1098,"c3,b4",7.071,15.8110,-69,0.3107720459,3.1761853260,0.0000159771,0.0003955077,2.0726473914,0.9809000000,0.6058000000,0.2639000000,0.1144000000,NOMA,
1099,"c3,c1",7.071,15.8110,-69,0.3049629747,3.1630139158,0.0000160552,0.0004058999,2.0890904654,0.9809000000,0.6187000000,0.2734000000,0.1001000000,NOMA,
1100,"c3,c4",7.071,15.8110,-69,0.3070445171,3.1364878643,0.0000160065,0.0004052044,2.0788488857,0.9830000000,0.6138000000,0.2678000000,0.1060000000,NOMA,
1101,"c3,d1",7.071,21.2132,-69,0.1084505552,3.1944310055,0.0000049691,0.0003962361,1.8667614521,1.0000000000,0.6195000000,0.3472000000,0.1081000000,NOMA,
1102,"c3,d2",7.071,15.8110,-69,0.3120086444,3.1430537700,0.0000160430,0.0003945610,2.0748586600,0.9824000000,0.6071000000,0.2552000000,0.1066000000,NOMA,
1103,"c3,d3",7.071,15.8110,-69,0.3097164572,3.1776613983,0.0000160417,0.0003977799,2.0821321283,0.9797000000,0.6089000000,0.2609000000,0.1010000000,NOMA,
1104,"c3,d4",7.071,21.2132,-69,0.1099558735,3.1263695439,0.0000049124,0.0004015003,1.8603103450,1.0000000000,0.6120000000,0.3527000000,0.1121000000,NOMA,
1105,"b2,a1",7.071,21.2132,-64,0.2988617955,9.9735955867,0.0000048888,0.0004030517,3.2380828779,0.9807000000,0.2610000000,0.2671000000,0.0417000000,NOMA,
1106,"b2,a2",7.071,15.8110,-64,0.7191655313,9.8809269139,0.0000158107,0.0004039752,3.6142501933,0.7169000000,0.2567000000,0.1769000000,0.0390000000,NOMA,
1107,"b2,a3",7.071,15.8110,-64,0.7233986600,9.9983915348,0.0000158743,0.0003955102,3.6355213352,0.7103000000,0.2545000000,0.1828000000,0.0399000000,NOMA,
1108,"b2,a4",7.071,21.2132,-64,0.3017081110,10.1187060970,0.0000049496,0.0004035167,3.2601883022,0.9825000000,0.2587000000,0.2648000000,0.0394000000,NOMA,
1109,"b2,b1",7.071,15.8110,-64,0.7289512855,9.8226198081,0.0000159749,0.0003966465,3.6315695437,0.7089000000,0.2689000000,0.1804000000,0.0386000000,NOMA,
1110,"b2,b4",7.071,15.8110,-64,0.7281688332,10.0439799010,0.0000159771,0.0003955077,3.6248256755,0.7067000000,0.2511000000,0.1764000000,0.0441000000,NOMA,
1111,"b2,c1",7.071,15.8110,-64,0.7181859583,10.0023282449,0.0000160552,0.0004058999,3.6483745719,0.7145000000,0.2690000000,0.1854000000,0.0400000000,NOMA,
1112,"b2,c4",7.071,15.8110,-64,0.7200805506,9.9184455047,0.0000160065,0.0004052044,3.6339576175,0.7218000000,0.2604000000,0.1818000000,0.0434000000,NOMA,
1113,"b2,d1",7.071,21.2132,-64,0.3007514747,10.1016778055,0.0000049691,0.0003962361,3.2703217656,0.9810000000,0.2611000000,0.2651000000,0.0378000000,NOMA,
1114,"b2,d2",7.071,15.8110,-64,0.7313840625,9.9392087216,0.0000160430,0.0003945610,3.6305637392,0.7188000000,0.2557000000,0.1724000000,0.0418000000,NOMA,
1115,"b2,d3",7.071,15.8110,-64,0.7265981759,10.0486476513,0.0000160417,0.0003977799,3.6380976247,0.7067000000,0.2534000000,0.1764000000,0.0382000000,NOMA,
1116,"b2,d4",7.071,21.2132,-64,0.3051030198,9.8864485660,0.0000049124,0.0004015003,3.2608044437,0.9814000000,0.2583000000,0.2695000000,0.0423000000,NOMA,
1117,"b3,a1",7.071,21.2132,-64,0.2988617955,9.9735955867,0.0000048888,0.0004030517,3.2380828779,0.9807000000,0.2610000000,0.2671000000,0.0417000000,NOMA,
1118,"b3,a2",7.071,15.8110,-64,0.7191655313,9.8809269139,0.0000158107,0.0004039752,3.6142501933,0.7169000000,0.2567000000,0.1769000000,0.0390000000,NOMA,
1119,"b3,a3",7.071,15.8110,-64,0.7233986600,9.9983915348,0.0000158743,0.0003955102,3.6355213352,0.7103000000,0.2545000000,0.1828000000,0.0399000000,NOMA,
1120,"b3,a4",7.071,21.2132,-64,0.3017081110,10.1187060970,0.0000049496,0.0004035167,3.2601883022,0.9825000000,0.2587000000,0.2648000000,0.0394000000,NOMA,
1121,"b3,b1",7.071,15.8110,-64,0.7289512855,9.8226198081,0.0000159749,0.0003966465,3.6315695437,0.7089000000,0.2689000000,0.1804000000,0.0386000000,NOMA,
1122,"b3,b4",7.071,15.8110,-64,0.7281688332,10.0439799010,0.0000159771,0.0003955077,3.6248256755,0.7067000000,0.2511000000,0.1764000000,0.0441000000,NOMA,
1123,"b3,c1",7.071,15.8110,-64,0.7181859583,10.0023282449,0.0000160552,0.0004058999,3.6483745719,0.7145000000,0.2690000000,0.1854000000,0.0400000000,NOMA,
1124,"b3,c4",7.071,15.8110,-64,0.7200805506,9.9184455047,0.0000160065,0.0004052044,3.6339576175,0.7218000000,0.2604000000,0.1818000000,0.0434000000,NOMA,
1125,"b3,d1",7.071,21.2132,-64,0.3007514747,10.1016778055,0.0000049691,0.0003962361,3.2703217656,0.9810000000,0.2611000000,0.2651000000,0.0378000000,NOMA,
1126,"b3,d2",7.071,15.8110,-64,0.7313840625,9.9392087216,0.0000160430,0.0003945610,3.6305637392,0.7188000000,0.2557000000,0.1724000000,0.0418000000,NOMA,
1127,"b3,d3",7.071,15.8110,-64,0.7265981759,10.0486476513,0.0000160417,0.0003977799,3.6380976247,0.7067000000,0.2534000000,0.1764000000,0.0382000000,NOMA,
1128,"b3,d4",7.071,21.2132,-64,0.3051030198,9.8864485660,0.0000049124,0.0004015003,3.2608044437,0.9814000000,0.2583000000,0.2695000000,0.0423000000,NOMA,
1129,"c2,a1",7.071,21.2132,-64,0.2988617955,9.9735955867,0.0000048888,0.0004030517,3.2380828779,0.9807000000,0.2610000000,0.2671000000,0.0417000000,NOMA,
1130,"c2,a2",7.071,15.8110,-64,0.7191655313,9.8809269139,0.0000158107,0.0004039752,3.6142501933,0.7169000000,0.2567000000,0.1769000000,0.0390000000,NOMA,
1131,"c2,a3",7.071,15.8110,-64,0.7233986600,9.9983915348,0.0000158743,0.0003955102,3.6355213352,0.7103000000,0.2545000000,0.1828000000,0.0399000000,NOMA,
1132,"c2,a4",7.071,21.2132,-64,0.3017081110,10.1187060970,0.0000049496,0.0004035167,3.2601883022,0.9825000000,0.2587000000,0.2648000000,0.0394000000,NOMA,
1133,"c2,b1",7.071,15.8110,-64,0.7289512855,9.8226198081,0.0000159749,0.0003966465,3.6315695437,0.7089000000,0.2689000000,0.1804000000,0.0386000000,NOMA,
1134,"c2,b4",7.071,15.8110,-64,0.7281688332,10.0439799010,0.0000159771,0.0003955077,3.6248256755,0.7067000000,0.2511000000,0.1764000000,0.0441000000,NOMA,
1135,"c2,c1",7.071,15.8110,-64,0.7181859583,10.0023282449,0.0000160552,0.0004058999,3.6483745719,0.7145000000,0.2690000000,0.1854000000,0.0400000000,NOMA,
1136,"c2,c4",7.071,15.8110,-64,0.7200805506,9.9184455047,0.0000160065,0.0004052044,3.6339576175,0.7218000000,0.2604000000,0.1818000000,0.0434000000,NOMA,
1137,"c2,d1",7.071,21.2132,-64,0.3007514747,10.1016778055,0.0000049691,0.0003962361,3.2703217656,0.9810000000,0.2611000000,0.2651000000,0.0378000000,NOMA,
1138,"c2,d2",7.071,15.8110,-64,0.7313840625,9.9392087216,0.0000160430,0.0003945610,3.6305637392,0.7188000000,0.2557000000,0.1724000000,0.0418000000,NOMA,
1139,"c2,d3",7.071,15.8110,-64,0.7265981759,10.0486476513,0.0000160417,0.0003977799,3.6380976247,0.7067000000,0.2534000000,0.1764000000,0.0382000000,NOMA,
1140,"c2,d4",7.071,21.2132,-64,0.3051030198,9.8864485660,0.0000049124,0.0004015003,3.2608044437,0.9814000000,0.2583000000,0.2695000000,0.0423000000,NOMA,
1141,"c3,a1",7.071,21.2132,-64,0.2988617955,9.9735955867,0.0000048888,0.0004030517,3.2380828779,0.9807000000,0.2610000000,0.2671000000,0.0417000000,NOMA,
1142,"c3,a2",7.071,15.8110,-64,0.7191655313,9.8809269139,0.0000158107,0.0004039752,3.6142501933,0.7169000000,0.2567000000,0.1769000000,0.0390000000,NOMA,
1143,"c3,a3",7.071,15.8110,-64,0.7233986600,9.9983915348,0.0000158743,0.0003955102,3.6355213352,0.7103000000,0.2545000000,0.1828000000,0.0399000000,NOMA,
1144,"c3,a4",7.071,21.2132,-64,0.3017081110,10.1187060970,0.0000049496,0.0004035167,3.2601883022,0.9825000000,0.2587000000,0.2648000000,0.0394000000,NOMA,
1145,"c3,b1",7.071,15.8110,-64,0.7289512855,9.8226198081,0.0000159749,0.0003966465,3.6315695437,0.7089000000,0.2689000000,0.1804000000,0.0386000000,NOMA,
1146,"c3,b4",7.071,15.8110,-64,0.7281688332,10.0439799010,0.0000159771,0.0003955077,3.6248256755,0.7067000000,0.2511000000,0.1764000000,0.0441000000,NOMA,
1147,"c3,c1",7.071,15.8110,-64,0.7181859583,10.0023282449,0.0000160552,0.0004058999,3.6483745719,0.7145000000,0.2690000000,0.1854000000,0.0400000000,NOMA,
1148,"c3,c4",7.071,15.8110,-64,0.7200805506,9.9184455047,0.0000160065,0.0004052044,3.6339576175,0.7218000000,0.2604000000,0.1818000000,0.0434000000,NOMA,
1149,"c3,d1",7.071,21.2132,-64,0.3007514747,10.1016778055,0.0000049691,0.0003962361,3.2703217656,0.9810000000,0.2611000000,0.2651000000,0.0378000000,NOMA,
1150,"c3,d2",7.071,15.8110,-64,0.7313840625,9.9392087216,0.0000160430,0.0003945610,3.6305637392,0.7188000000,0.2557000000,0.1724000000,0.0418000000,NOMA,
1151,"c3,d3",7.071,15.8110,-64,0.7265981759,10.0486476513,0.0000160417,0.0003977799,3.6380976247,0.7067000000,0.2534000000,0.1764000000,0.0382000000,NOMA,
1152,"c3,d4",7.071,21.2132,-64,0.3051030198,9.8864485660,0.0000049124,0.0004015003,3.2608044437,0.9814000000,0.2583000000,0.2695000000,0.0423000000,NOMA,
1153,"b2,a1",7.071,21.2132,-59,0.7054210678,31.5392785153,0.0000048888,0.0004030517,5.0201209748,0.7164000000,0.0913000000,0.1818000000,0.0144000000,NOMA,
1154,"b2,a2",7.071,15.8110,-59,1.3417780329,31.2462344415,0.0000158107,0.0004039752,5.4685598492,0.3278000000,0.0878000000,0.1024000000,0.0124000000,NOMA,
1155,"b2,a3",7.071,15.8110,-59,1.3457349332,31.6176901880,0.0000158743,0.0003955102,5.4968092231,0.3209000000,0.0901000000,0.1068000000,0.0143000000,NOMA,
1156,"b2,a4",7.071,21.2132,-59,0.7100410705,31.9981582402,0.0000049496,0.0004035167,5.0450755742,0.7217000000,0.0904000000,0.1819000000,0.0138000000,NOMA,
